[95428.4, 'A', 3714.4858, 12646.4683, 18.43494900530773]
[95428.5, 'A', 3714.4861, 12646.4684, 18.434948692646486]
[95428.6, 'A', 3714.4865, 12646.4684, 18.434948692646486]
[95428.7, 'A', 3714.4869, 12646.4684, 18.434948692646486]
[95428.8, 'A', 3714.4873, 12646.4685, 14.036243621191787]
[95428.9, 'A', 3714.4877, 12646.4685, 14.036243621191787]
[95429.1, 'A', 3714.4881, 12646.4685, 14.036243621191787]
[95429.1, 'A', 3714.4885, 12646.4685, 14.036243621191787]
[95429.2, 'A', 3714.4889, 12646.4685, 14.036243621191787]
[95429.4, 'A', 3714.4893, 12646.4685, 14.036243621191787]
[95429.5, 'A', 3714.4897, 12646.4685, 14.036243621191787]
[95429.5, 'A', 3714.49, 12646.4685, 14.036243621191787]
[95429.6, 'A', 3714.4904, 12646.4685, 14.036243621191787]
[95429.7, 'A', 3714.4908, 12646.4685, 14.036243621191787]
[95429.9, 'A', 3714.4912, 12646.4685, 14.036243621191787]
[95429.9, 'A', 3714.4915, 12646.4685, 14.036243621191787]
[95430.0, 'A', 3714.4918, 12646.4685, 14.036243621191787]
[95430.1, 'A', 3714.492, 12646.4685, 14.036243621191787]
[95430.2, 'A', 3714.4922, 12646.4685, 14.036243621191787]
[95430.3, 'A', 3714.4923, 12646.4685, 14.036243621191787]
[95430.4, 'A', 3714.4925, 12646.4685, 14.036243621191787]
[95430.5, 'A', 3714.4925, 12646.4685, 14.036243621191787]
[95430.7, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95430.8, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95430.9, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.0, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.1, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.2, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.2, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.4, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.4, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.6, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.7, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.8, 'A', 3714.4926, 12646.4685, 14.036243621191787]
[95431.9, 'A', 3714.4926, 12646.4685, 14.036243621191787]
